Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
2,39,2,8014,1,1,0.052631579,1,37,38,10,10,0.489473684,1,1,1,2,1,1,0.528301887,1,1,7,10,6,0.653421633,1,1,7,7,7,0.7,1,0.73255814,0.111111111,0.640686922,0
2,39,2,9991,1,19,0.401052632,1,37,37,10,8,0.208421053,1,1,2,2,2,1,0.622641509,1,1,6,11,6,0.628192999,1,1,6,18,6,0.619230769,6,1.0,0.244444444,0.414795244,0
1,18,2,8014,1,1,0.452631579,1,19,1,10,6,0.415789474,2,1,1,2,1,1,0.037735849,1,1,7,7,7,0.671081678,1,1,7,9,7,0.774038462,1,0.558139535,0.288888889,0.772787318,0
1,1,2,9991,1,1,0.368421053,1,2,37,4,10,0.383157895,1,1,1,2,2,1,0.320754717,1,1,6,7,6,0.656953642,1,1,6,10,6,0.723076923,1,0.73255814,0.111111111,0.640686922,0
4,39,2,9991,1,1,0.263157895,1,19,19,10,4,0.198947368,2,1,1,2,1,1,0.41509434,1,1,6,9,6,0.582781457,1,1,6,6,6,0.624615385,1,0.0,0.755555556,0.578599736,0
1,39,2,9991,1,1,0.401052632,1,37,37,10,10,0.154736842,1,1,1,2,1,1,0.226415094,1,1,6,1,1,0.0,1,1,6,1,1,0.0,1,1.0,0.244444444,0.414795244,1
1,17,2,9991,1,1,0.621052632,1,38,38,5,6,0.411578947,1,1,1,2,1,1,0.132075472,1,1,6,10,3,0.609271523,1,1,6,12,4,0.771794872,2,0.0,0.755555556,0.578599736,0
1,44,2,8014,1,39,0.368421053,1,1,19,10,10,0.404210526,1,1,1,2,1,2,0.075471698,1,4,7,7,7,0.609271523,1,3,7,8,7,0.715384616,1,0.558139535,0.288888889,0.772787318,0
1,39,2,9991,1,1,0.368421053,1,38,38,10,10,0.263157895,1,1,1,2,1,1,0.188679245,1,1,6,13,6,0.561589404,1,1,6,11,6,0.592307692,1,0.209302326,0.0,0.124174373,1
2,39,2,8014,1,1,0.263157895,1,37,37,10,7,0.231578947,1,1,1,2,2,1,0.301886792,1,1,7,9,7,0.635761589,1,1,7,7,7,0.628205128,1,0.372093023,0.488888889,0.766182299,0
1,39,2,9991,1,2,0.473684211,1,3,3,3,3,0.638947368,2,1,1,2,2,1,0.339622642,1,1,2,2,1,0.0,2,1,6,1,1,0.0,1,0.372093023,0.488888889,0.766182299,1
2,39,2,8014,1,1,0.368421053,1,37,37,10,7,0.157894737,2,1,1,2,1,1,0.301886792,1,1,7,8,7,0.582781457,1,1,7,12,6,0.592307692,1,0.209302326,0.0,0.124174373,0
2,39,2,8014,1,1,0.401052632,1,37,19,10,10,0.2,1,1,1,2,1,1,0.509433962,1,3,9,12,9,0.629139073,1,1,7,8,7,0.664102564,1,0.593023256,1.0,0.311756935,0
2,39,2,8014,1,1,0.368421053,1,37,37,7,6,0.194736842,2,1,1,2,1,1,0.358490566,1,1,7,1,1,0.0,1,1,7,1,1,0.0,1,0.209302326,0.0,0.124174373,1
1,39,2,8014,1,1,0.263157895,1,1,19,7,9,0.284210526,1,1,1,2,1,2,0.132075472,1,1,7,12,6,0.582781457,1,1,7,10,6,0.678461539,1,0.406976744,0.311111111,0.80317041,0
1,42,2,8014,1,1,0.578947368,1,19,2,5,7,0.557894737,1,1,1,2,1,1,0.169811321,1,1,7,11,4,0.618101545,1,1,7,9,6,0.646153846,1,0.209302326,0.0,0.124174373,0
1,44,2,9991,1,39,0.473684211,1,37,19,10,9,0.473684211,1,1,1,2,1,2,0.169811321,1,3,7,8,7,0.671081678,1,3,7,8,7,0.708974359,2,0.209302326,0.0,0.124174373,0
