Sequence Name,mcg,gvh,alm,mit,erl,pox,vac,nuc,Class
ADT1_YEAST,0.58,0.61,0.47,0.13,0.5,0,0.48,0.22,MIT
ADT2_YEAST,0.43,0.67,0.48,0.27,0.5,0,0.53,0.22,MIT
ADT3_YEAST,0.64,0.62,0.49,0.15,0.5,0,0.53,0.22,MIT
AAR2_YEAST,0.58,0.44,0.57,0.13,0.5,0,0.54,0.22,NUC
AATM_YEAST,0.42,0.44,0.48,0.54,0.5,0,0.48,0.22,MIT
AATC_YEAST,0.51,0.4,0.56,0.17,0.5,0.5,0.49,0.22,CYT
ABC1_YEAST,0.5,0.54,0.48,0.65,0.5,0,0.53,0.22,MIT
BAF1_YEAST,0.48,0.45,0.59,0.2,0.5,0,0.58,0.34,NUC
ABF2_YEAST,0.55,0.5,0.66,0.36,0.5,0,0.49,0.22,MIT
ABP1_YEAST,0.4,0.39,0.6,0.15,0.5,0,0.58,0.3,CYT
ACE1_YEAST,0.43,0.39,0.54,0.21,0.5,0,0.53,0.27,NUC
ACE2_YEAST,0.42,0.37,0.59,0.2,0.5,0,0.52,0.29,NUC
ACH1_YEAST,0.4,0.42,0.57,0.35,0.5,0,0.53,0.25,CYT
ACON_YEAST,0.6,0.4,0.52,0.46,0.5,0,0.53,0.22,MIT
ACR1_YEAST,0.66,0.55,0.45,0.19,0.5,0,0.46,0.22,MIT
ACT_YEAST,0.46,0.44,0.52,0.11,0.5,0,0.5,0.22,CYT
ACT2_YEAST,0.47,0.39,0.5,0.11,0.5,0,0.49,0.4,CYT
ACT3_YEAST,0.58,0.47,0.54,0.11,0.5,0,0.51,0.26,NUC
ACT5_YEAST,0.5,0.34,0.55,0.21,0.5,0,0.49,0.22,NUC
ADA2_YEAST,0.61,0.6,0.55,0.21,0.5,0,0.5,0.25,NUC
C1TC_YEAST,0.45,0.4,0.5,0.16,0.5,0,0.5,0.22,CYT
PUR4_YEAST,0.43,0.44,0.48,0.22,0.5,0,0.51,0.22,CYT
PUR3_YEAST,0.73,0.63,0.42,0.3,0.5,0,0.49,0.22,CYT
ADH1_YEAST,0.43,0.53,0.52,0.13,0.5,0,0.55,0.22,CYT
ADH2_YEAST,0.46,0.53,0.52,0.15,0.5,0,0.58,0.22,CYT
ADH3_YEAST,0.51,0.51,0.52,0.51,0.5,0,0.54,0.22,MIT
ADH4_YEAST,0.59,0.45,0.53,0.19,0.5,0,0.59,0.27,CYT
KAD1_YEAST,0.57,0.47,0.6,0.18,0.5,0,0.51,0.22,CYT
KAD2_YEAST,0.63,0.67,0.57,0.24,0.5,0,0.49,0.22,MIT
ADR1_YEAST,0.53,0.54,0.43,0.1,0.5,0,0.57,0.32,NUC
AFG3_YEAST,0.51,0.51,0.43,0.87,0.5,0,0.52,0.22,MIT
AFR1_YEAST,0.38,0.61,0.61,0.12,0.5,0,0.53,0.47,CYT
RCS1_YEAST,0.33,0.55,0.51,0.43,0.5,0,0.51,0.22,NUC
YMX1_YEAST,0.72,0.61,0.45,0.3,0.5,0,0.54,0.25,MIT
SYAC_YEAST,0.4,0.45,0.57,0.18,0.5,0,0.56,0.26,CYT
DHA1_YEAST,0.59,0.53,0.43,0.44,0.5,0,0.5,0.22,MIT
DHA2_YEAST,0.57,0.53,0.53,0.34,0.5,0,0.53,0.22,MIT
ANC1_YEAST,0.53,0.31,0.58,0.39,0.5,0,0.47,0.37,NUC
ADB2_YEAST,0.48,0.39,0.51,0.21,0.5,0,0.52,0.28,CYT
APN1_YEAST,0.45,0.46,0.55,0.43,0.5,0,0.55,0.38,NUC
ARD1_YEAST,0.56,0.48,0.58,0.27,0.5,0,0.51,0.22,CYT
ARF1_YEAST,0.64,0.59,0.56,0.23,0.5,0,0.46,0.22,CYT
ARF2_YEAST,0.64,0.56,0.56,0.22,0.5,0,0.45,0.22,CYT
ASSY_YEAST,0.66,0.62,0.49,0.1,0.5,0,0.49,0.22,CYT
OTC_YEAST,0.53,0.44,0.51,0.33,0.5,0,0.55,0.22,CYT
ARLY_YEAST,0.38,0.49,0.53,0.19,0.5,0,0.5,0.22,CYT
AR56_YEAST,0.45,0.58,0.48,0.67,0.5,0,0.52,0.22,MIT
ARGD_YEAST,0.43,0.35,0.52,0.52,0.5,0,0.54,0.22,MIT
ARG1_YEAST,0.37,0.32,0.47,0.18,0.5,0,0.45,0.25,NUC
ARG2_YEAST,0.48,0.43,0.51,0.32,0.5,0,0.52,0.43,NUC
ARG3_YEAST,0.41,0.46,0.59,0.19,0.5,0,0.58,0.27,NUC
ARO1_YEAST,0.54,0.48,0.44,0.08,0.5,0,0.52,0.27,CYT
AROC_YEAST,0.6,0.47,0.45,0.22,0.5,0,0.51,0.29,CYT
AROF_YEAST,0.34,0.46,0.57,0.09,0.5,0,0.55,0.22,CYT
AROG_YEAST,0.48,0.54,0.55,0.12,0.5,0,0.51,0.22,CYT
CHMU_YEAST,0.47,0.39,0.59,0.15,0.5,0,0.57,0.22,CYT
AST1_YEAST,0.48,0.42,0.52,0.24,0.5,0,0.56,0.22,CYT
ATE1_YEAST,0.58,0.51,0.49,0.27,0.5,0,0.57,0.29,CYT
ATM1_YEAST,0.6,0.5,0.44,0.61,0.5,0,0.47,0.22,MIT
ATPA_YEAST,0.45,0.55,0.54,0.66,0.5,0,0.47,0.22,MIT
ATPY_YEAST,0.46,0.49,0.58,0.23,0.5,0,0.44,0.22,MIT
ATPS_YEAST,0.49,0.42,0.56,0.55,0.5,0,0.42,0.25,MIT
ATPT_YEAST,0.63,0.53,0.54,0.4,0.5,0,0.5,0.22,MIT
ATPU_YEAST,0.5,0.54,0.53,0.54,0.5,0,0.51,0.27,MIT
ATPE_YEAST,0.63,0.57,0.59,0.4,0.5,0,0.38,0.22,MIT
ATPB_YEAST,0.43,0.57,0.51,0.49,0.5,0,0.48,0.22,MIT
ATPG_YEAST,0.48,0.45,0.55,0.5,0.5,0,0.53,0.22,MIT
ATPD_YEAST,0.5,0.58,0.46,0.46,0.5,0,0.46,0.22,MIT
ATPO_YEAST,0.51,0.54,0.6,0.57,0.5,0,0.58,0.22,MIT
ATP7_YEAST,0.54,0.52,0.63,0.37,0.5,0,0.46,0.22,MIT
ATP8_YEAST,0.67,0.62,0.4,0.43,0.5,0.83,0.5,0.22,MIT
BAS1_YEAST,0.5,0.52,0.59,0.3,0.5,0,0.51,0.35,NUC
BCK1_YEAST,0.42,0.47,0.52,0.41,0.5,0,0.53,0.32,CYT
BCK2_YEAST,0.36,0.46,0.62,0.46,0.5,0,0.51,0.33,CYT
BCS1_YEAST,0.46,0.38,0.47,0.22,0.5,0,0.52,0.27,MIT
KAPR_YEAST,0.4,0.45,0.56,0.2,0.5,0,0.45,0.22,CYT
BDF1_YEAST,0.33,0.43,0.64,0.16,0.5,0,0.52,0.52,NUC
BEM1_YEAST,0.49,0.61,0.49,0.25,0.5,0,0.5,0.28,CYT
CYBM_YEAST,0.61,0.72,0.39,0.33,0.5,0,0.58,0.22,MIT
YMC4_YEAST,0.78,0.75,0.4,0.28,0.5,0,0.53,0.22,MIT
BIK1_YEAST,0.64,0.57,0.57,0.27,0.5,0,0.37,0.22,CYT
BUD5_YEAST,0.47,0.52,0.5,0.4,0.5,0,0.41,0.22,CYT
